millis	raw	load
4059	11885.00	-0.58
4070	12083.00	-0.59
4081	12051.00	-0.59
4093	12069.00	-0.59
4104	12152.00	-0.59
4115	12052.00	-0.59
4127	11910.00	-0.58
4139	11990.00	-0.58
4150	12038.00	-0.59
4161	12126.00	-0.59
4173	11993.00	-0.58
4184	12083.00	-0.59
4195	12195.00	-0.59
4213	12075.00	-0.59
4218	12022.00	-0.59
4230	12139.00	-0.59
4241	12105.00	-0.59
4252	12038.00	-0.59
4264	12106.00	-0.59
4275	12013.00	-0.59
4286	12201.00	-0.60
4297	12262.00	-0.60
4309	12242.00	-0.60
4321	12238.00	-0.60
4332	12278.00	-0.60
4344	12182.00	-0.59
4355	12142.00	-0.59
4366	12170.00	-0.59
4377	12116.00	-0.59
4389	12043.00	-0.59
4400	12116.00	-0.59
4411	12311.00	-0.60
4423	12156.00	-0.59
4435	12139.00	-0.59
4446	12237.00	-0.60
4457	12195.00	-0.59
4468	12036.00	-0.59
4486	11999.00	-0.59
4491	11876.00	-0.58
4502	11886.00	-0.58
4514	12015.00	-0.59
4526	12188.00	-0.59
4537	12080.00	-0.59
4548	12062.00	-0.59
4560	12172.00	-0.59
4571	12044.00	-0.59
4582	12007.00	-0.59
4593	12090.00	-0.59
4605	12119.00	-0.59
4617	12086.00	-0.59
4628	12046.00	-0.59
4639	12159.00	-0.59
4651	12209.00	-0.60
4662	12095.00	-0.59
4673	12053.00	-0.59
4685	12058.00	-0.59
4696	12104.00	-0.59
4707	11907.00	-0.58
4719	11882.00	-0.58
4731	12011.00	-0.59
4742	12102.00	-0.59
4753	12039.00	-0.59
4772	12040.00	-0.59
4776	12129.00	-0.59
4787	12110.00	-0.59
4798	12192.00	-0.59
4809	12039.00	-0.59
4822	12197.00	-0.59
4833	12119.00	-0.59
4844	12221.00	-0.60
4856	12102.00	-0.59
4867	12025.00	-0.59
4878	12073.00	-0.59
4889	12009.00	-0.59
4901	12154.00	-0.59
4913	12118.00	-0.59
4924	12012.00	-0.59
4935	12053.00	-0.59
4947	12189.00	-0.59
4958	12290.00	-0.60
4969	12200.00	-0.59
4980	11999.00	-0.59
4992	12030.00	-0.59
5003	12095.00	-0.59
